,celltype,major_celltype,label,Neurons_In,Neurons_Ex,Oligo_2_3_2,Oligo_2_3_1,Oligo_2_2,Oligo_2_1,OPC,AstroSERPINI2,AstroPLCG1,AstroAQP1,TC_prolif,TC_OPC,TC_oligo,TC_NPC,TC_AC,TC_mesnh,TC_mesh,Mg_prolif,Mg_1_3,Mg_1_1,Granulocyte,Monocyte_Nc,Monocyte,Mac_prolif,Mac_5_1_3,Mac_5_1_2,DC_mig,DC,NKT,Treg,Tcell_prolif,CD8_TRM,CD8,CD4,Bcell_plasma,Bcell,gbmFib_6,gbmFib_5,gbmFib_4,Fibroblast,FBMC,gbmEndoPeri_2,gbmEndoPeri_1,gbmPeri,Pericyte,SMC,gbmEndo_9_4,gbmEndo_9_3,gbmEndo_9_1a,gbmEndo_9_1,Endo_cap,Venule,Venous,Art3,Art2,Art1
GAP43,Neurons_Ex,Neurons,,2.45509096725529,4.49506134354696,-0.440308993154994,-0.559951495099198,-0.583811674548648,-0.562057343725922,0.91521718060732,0.0219151566580365,-0.0271051708863629,-0.151984594697618,1.438267930009,0.274140430809595,0.371236130838499,0.951284386519533,-0.0614539679487579,2.57632544396672,0.699912966518052,-0.361928562804643,-0.564950010661007,-0.567716472056922,-0.582580958199816,-0.602446309302947,-0.559025602207198,-0.358192213799491,-0.452748489920669,-0.48619929079268,-0.602446309302947,-0.556126972693344,-0.56621257288768,-0.500396919962232,-0.407503542061695,-0.548084224799553,-0.569133568385302,-0.530165201581689,-0.301715249926371,-0.535382834890261,0.619693774119115,1.31957158764279,2.43159285505796,-0.0662919963915502,-0.501444143082398,0.0399937616046426,-0.169990011672367,-0.327387064709009,-0.550673828899671,-0.5639464628696,-0.536967373870758,0.122024475670828,-0.541617165022001,-0.39753699277244,-0.37699841995912,-0.540234553635481,-0.442655997469614,-0.55602167680512,-0.546573175974697,-0.573360981392551
LMO7,Neurons_Ex,Neurons,,2.25900196414417,4.81631205630408,-0.629813621379766,-0.533320231778417,-0.629112208024947,-0.585865696628412,0.578944963139006,-0.29803324637506,0.226740321685362,-0.0589402014789196,0.533327783300274,-0.588702767424274,-0.571038643749563,-0.569978626438735,-0.578191190767247,-0.515948704087928,-0.534235023172552,0.529444946196732,-0.583084285023793,-0.453421623769337,-0.660459169604889,-0.680982113035166,-0.651061939803894,-0.214992630564929,-0.587950785454629,-0.530533460345843,-0.59595602613406,-0.177736883060268,-0.641660674416057,-0.589676423538944,0.0371380526817992,-0.608222448507936,-0.569166737161497,-0.53147120358247,-0.654130774697518,-0.566158806853234,0.0495441242631648,0.222847060830447,3.27641301551044,0.0816682759027576,1.8446504782962,0.963599017795684,0.232194960519555,-0.0889181363366642,-0.211041794346971,0.206132728734542,-0.245262943302539,0.812436050522773,0.534593660734269,0.293489800400694,-0.355155952997351,-0.149320208812355,-0.52903328600752,-0.0111285016923201,-0.192985600089325,-0.325786690516612
PDE4D,Neurons_Ex,Neurons,,2.04525593695975,2.25620705160427,-0.734140138918711,-0.725171792911086,-0.742033819099096,-0.809766714896559,1.91077742869981,1.88614502602473,1.63611455749292,-0.268432478837185,-0.488552020751924,-0.507613426118187,-0.492950328212054,-0.572722374430307,-0.723014218158177,-0.424539830078589,-0.716207170800262,-0.821702160987472,-0.871228161258888,-0.836428088645945,-0.859694120053833,-0.871228161258888,-0.673478835191117,-0.738623193984943,-0.597850775030444,-0.751637205565639,-0.871228161258888,-0.756823229203685,-0.38806228355129,-0.388089786525287,-0.331949280025524,-0.628651808282025,-0.400002989984122,-0.446130229057659,-0.690273503773587,-0.665047030018864,-0.229049422608489,-0.0216579979169469,-0.730541431794154,0.389552346897316,1.94485013459638,0.127088889890355,-0.00852080708103181,-0.325491942942558,0.618735931284795,1.64650995255418,-0.583192578803597,-0.316933662499547,-0.0845577886008886,0.0318115174238642,-0.512723621574275,1.02750916596907,2.07352705958213,1.69317743431961,1.84286665507322,1.47581348231933
SCFD2,Neurons_Ex,Neurons,,3.34694197503276,4.14016075354044,-0.429659506220257,-0.34418889635326,-0.469731311447368,-0.560380353852311,3.07104069854583,1.19222674215709,0.908225494307499,0.612819420029723,0.30000265532202,0.485809705046161,0.36674971224273,0.017327640414932,-0.393559802725461,0.105457804959541,-0.572967174876207,-0.437566716331985,-0.685007010701957,-0.601669379373844,-0.823520836016548,-0.625127606980915,-0.76838328277907,-0.512373592635041,-0.658447227217366,-0.570835630781213,-0.865677489253828,-0.477670635614902,-0.642912227835337,-0.707974749839163,-0.612772507541792,-0.610356491545295,-0.69999500957341,-0.662822126306701,-0.5196500928077,-0.534429359057196,-0.548737004298765,-0.22368488470063,-0.200703522101059,0.416547596786662,-0.147700844979355,0.315661171255868,-0.242548569422314,-0.564643191231478,0.753367213442421,-0.198685208806112,-0.636182261921654,-0.294563221938583,-0.455417805542314,-0.122352500649628,-0.628305749749127,0.890950876244053,0.385354754001037,0.71964985869307,0.842228047632447,0.180681663354864
SLC17A7,Neurons_Ex,Neurons,SLC17A7,0.337990008879051,7.28819870054255,-0.18989286039588,-0.190721201369126,-0.199146457025467,-0.187269994011647,0.204910924044493,0.237820684878146,0.096331716354777,0.329812873283002,-0.171790620977886,-0.179504622433665,-0.199146457025467,-0.161052381625252,-0.199146457025467,-0.180457098014953,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.189230034081731,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.0997209405531473,-0.0912551927910692,-0.190659593729768,-0.199146457025467,-0.190949168413734,-0.199146457025467,-0.181924700188059,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.199146457025467,-0.173904565926013,-0.199146457025467,-0.199146457025467,0.029320741635544,-0.0625922985110882,-0.199146457025467,-0.141888136048321,-0.190910394630437,-0.112881300372912,-0.106965784290089,-0.185926346317032,-0.104164232261364,-0.199146457025467,-0.168869692813444,-0.186561556648153,-0.14605209679009,-0.199146457025467,-0.159456787903011,-0.105962854515594,-0.0925991394438152
SLMAP,Neurons_Ex,Neurons,,3.0571006732583,3.58700159739605,-0.552666601847899,-0.518582461244729,-0.769709391571997,-0.832413777027004,1.43220166748275,1.08904640399858,1.21651262716344,0.392042682087,-0.282993373882501,-0.468700976368079,-0.388597152020032,-0.505263588559941,-0.677771350248916,-0.667931286526243,-0.602028429383214,-0.451996107377374,-0.97945550853056,-0.764288143867167,-1.16027258284584,-0.744979010899988,-0.845872727719489,-0.302815402457076,-0.631464013015525,-0.674383983997096,-0.70295403637477,-0.689582690948854,-0.760712835844108,-0.778293938370941,-0.485354599250702,-0.87064121383353,-0.886252627364156,-0.896850949597047,-0.66832115905926,-0.849602617845944,-0.37910600812661,0.192139851030671,1.13496026565022,0.33375954896333,0.841256151897028,1.38190311496494,1.04082916276161,0.282785612393788,0.814247583016609,1.95364376188245,-0.322998257134098,0.617381796794688,0.0852779900715538,0.824647371320392,-0.265971499445618,1.24969625332053,0.248262299626162,-0.0485340820890154,0.0467440203766053,-0.394078050781358
VSNL1,Neurons_Ex,Neurons,VSNL1,4.2703411987466,5.54208485234436,-0.289153033375974,-0.288414256602448,-0.287713713498455,-0.28737255248185,0.750214643815376,0.6933327747904,0.668336112353363,1.03529856398538,-0.186708113941607,-0.132560631151525,-0.221302916979148,-0.282393613197685,-0.26543173061757,-0.222178797174888,-0.270442323346346,-0.29403384288992,-0.287583487756072,-0.279237953925859,-0.29403384288992,-0.29403384288992,-0.288761895255122,-0.29403384288992,-0.28938010617651,-0.28042322969657,-0.29403384288992,-0.289199089318112,-0.287858071235402,-0.29403384288992,-0.29403384288992,-0.29403384288992,-0.29403384288992,-0.28305614120722,-0.29403384288992,-0.270956373009359,-0.129965042124404,-0.0385770662750159,-0.285340674450244,-0.214537213230184,-0.262231614854454,-0.29403384288992,-0.266709339509639,-0.263924501383703,-0.209737250293023,-0.256920218221956,-0.273685773601754,-0.258340239301074,-0.29403384288992,-0.267583586455378,-0.250115768876265,-0.200141773483459,-0.235176949760542,-0.29403384288992,-0.213893316440382,-0.220159830257323
CD9,Oligo_2_3_2,Oligodendrocyte/OPC,,-1.30790599405193,-1.32529583602256,2.72283503175658,1.94128554325935,1.16247896624834,1.86537284033258,-0.443959471920877,-0.709466177048116,-0.836659685464677,-0.449193971665708,0.594012525667987,0.295979035467118,-0.274447204401828,-0.662720898253438,0.535579477492582,0.232134644550293,1.49722522881307,-0.442687538035708,-0.498943363475084,0.0594976846124559,-1.28449406293864,-1.13809955629144,-1.13802257343429,-0.157152583683805,0.536416023239175,0.676805294369353,-0.731259046760475,0.359072305137771,-1.11657930863729,-1.2213391503937,-0.911050642406201,-1.2314041689825,-1.03427839254797,-1.1917684961703,-0.93116185687612,-1.12452967958778,0.0729698800173176,-0.500605924747642,0.501443700992222,0.966331575890792,1.03638494595579,0.900786686157743,0.0971974254731551,0.261547749913458,2.17473869101273,1.34596769181088,-0.027902550717222,-0.0781884449425842,0.398830295886693,0.655765849476472,-0.707860485130012,-0.700188565060478,-0.906079470166964,1.26204690494846,0.172934485245807,0.757604616087141
CNDP1,Oligo_2_3_2,Oligodendrocyte/OPC,,-0.237127559041772,-0.238476752319863,4.26850135564095,3.62737431679115,3.09087392365249,3.17037138809417,-0.22704990600989,-0.313139527142621,-0.313139527142621,-0.259336053927039,-0.279104639752004,-0.210162432781903,-0.146862745668808,-0.265277993794405,-0.254843981106397,-0.259510190860043,-0.275919554130077,-0.288333262228166,-0.280912376943108,-0.277544604177879,-0.277050263037827,-0.313139527142621,-0.287839902606691,-0.284121484375589,-0.288195016778382,-0.280507750227317,-0.313139527142621,-0.275933636410011,-0.308687488533879,-0.304411126709896,-0.313139527142621,-0.298342317460263,-0.29389720897773,-0.29092743202711,-0.278272124262159,-0.303867555388594,-0.313139527142621,-0.300987592174091,-0.300544345171471,-0.279119490750328,-0.278459894236308,-0.313139527142621,-0.293561852548815,-0.286163107098976,-0.283474262781661,-0.293184402077978,-0.307901686251532,-0.298195259768524,-0.313139527142621,-0.297188163151636,-0.291998482559869,-0.279628200366013,-0.223300434204699,-0.142889346218286,-0.256522152558095,0.0336292644172985
FGFR2,Oligo_2_3_2,Oligodendrocyte/OPC,,0.123663698915156,0.0904040931193727,3.26426932234503,3.22760153218395,2.23795892644482,2.51480418056938,-0.44045202497253,2.28203949274713,2.56565538967723,1.24627840344975,-0.32054445502343,-0.363532639191396,-0.314849946729384,-0.334905934259047,0.212649419859733,-0.317530170598436,-0.339609336109062,-0.465967370154144,-0.470927534647408,-0.455303114721897,-0.469722137906882,-0.474890214246911,-0.461251299389944,-0.432764911729314,-0.46235561554267,-0.453297987718183,-0.474890214246911,-0.461330612833095,-0.454718898203341,-0.460368995233133,-0.445162140297064,-0.442966028964766,-0.457521039894816,-0.448669760205251,-0.474890214246911,-0.474890214246911,-0.268913130417046,-0.325987955527896,0.872773253145125,0.329276361214163,-0.411937800337018,-0.474890214246911,-0.385704611607012,-0.457515008636695,-0.418068785935737,-0.400676851541229,-0.469775662697739,-0.465853297007182,-0.474890214246911,-0.471462885155028,-0.4707346582789,-0.474890214246911,-0.45444238272456,-0.474890214246911,-0.447447625614344,-0.445979749889957
GSN,Oligo_2_3_2,Oligodendrocyte/OPC,,-1.29957239447446,-1.05524433431479,1.8491596993899,1.39669372984794,0.578099174575148,0.948436974565121,-1.10940425451804,-0.27384613739041,-0.565308969928282,-0.69208279454225,-1.04522488976686,-1.16962723583889,-1.32510689032215,-1.36836055210047,-0.983109486863567,-0.89756318456244,-0.580962638258446,1.14554821292759,0.963587655068813,1.00609548909937,-1.28849396775931,-1.11475046088889,-0.907506189853353,0.84645567039645,0.149164074292362,0.697301354421945,1.2534241391311,0.797851243902018,-1.18325162356857,-1.3088417673516,-1.01713580246894,-1.39472323304702,-1.46231103501911,-1.41154097083873,-1.10068373107696,-1.1270534546961,0.820723742058621,0.187995500070393,1.29636134345095,1.4467601422284,0.914196311348021,0.793446821909676,0.86410817353831,0.451622622404526,0.637810725248421,0.726055755168212,0.26426535562693,0.475861550413903,0.914683401899,0.562860374900852,0.06998303536948,0.338740560422033,0.783787768773617,1.05321824102775,0.711167253523892,0.736239902448855
KLK6,Oligo_2_3_2,Oligodendrocyte/OPC,,-0.268985492338607,-0.276970058812763,4.43257898143059,4.12873978296591,2.32933608973322,3.02281472567664,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.256111852031856,-0.187437526519479,-0.228846818897787,-0.223191831635277,-0.234363060358333,-0.215828451894601,-0.264160065500271,-0.262459776328168,-0.270266868489126,-0.269770727966542,-0.262442247798646,-0.279970791269736,-0.266557583038687,-0.249650202268012,-0.264645091098805,-0.258774307558724,-0.279970791269736,-0.267167527353875,-0.252653363285461,-0.237792142131518,-0.279970791269736,-0.270120565948684,-0.271323501294317,-0.256209888426807,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.273830199478022,-0.268053893675862,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.276615962662982,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736,-0.279970791269736
MAG,Oligo_2_3_2,Oligodendrocyte/OPC,,-0.26962693028519,-0.271438544895746,3.82866878915005,3.76608156357285,3.23088792529114,3.43203868871917,-0.294602178673251,-0.207642641469513,-0.265375664312915,-0.294602178673251,-0.249748243209706,-0.20373640233527,-0.209718229340591,-0.214957872661929,-0.214553373396057,-0.250744465059399,-0.251061140207058,-0.274407284656378,-0.278240129165558,-0.266479064790353,-0.273222471415567,-0.294602178673251,-0.277194194058764,-0.264350511155685,-0.271793832854304,-0.284435954822054,-0.294602178673251,-0.260152194456696,-0.284556872543735,-0.281091949988254,-0.265558881599624,-0.284200983166053,-0.270297961475246,-0.284915994526052,-0.271767119357232,-0.276334906181018,-0.294602178673251,-0.290353821408173,-0.294602178673251,-0.294602178673251,-0.285579569369311,-0.271859071572984,-0.26912731246319,-0.291719394590467,-0.294602178673251,-0.294602178673251,-0.291754429126213,-0.287091390982203,-0.294602178673251,-0.288760866710453,-0.284794617025497,-0.294602178673251,-0.294602178673251,-0.294602178673251,-0.294602178673251,-0.294602178673251
NGFR,Oligo_2_3_2,Oligodendrocyte/OPC,,-0.441796967818258,-0.421940879444275,5.44864871588873,1.96727036614466,0.505731435886457,0.604717439754777,-0.460809429953466,-0.460809429953466,-0.460809429953466,-0.460809429953466,1.50557943745113,-0.00122037271496431,-0.185016453820182,0.159072550889686,0.808558124384472,0.372950417851572,1.94161443116663,-0.43631695000754,-0.451060938445714,-0.460809429953466,-0.460809429953466,-0.460809429953466,-0.448016032987289,-0.419258516939234,-0.436919211130361,-0.438726031255839,0.416469230315643,-0.421375146459979,-0.326043982433212,-0.412020242922479,-0.368270459018314,-0.451082192992112,-0.422988287704508,-0.421201805523189,-0.380488241626848,-0.434161368138072,0.762762086261617,-0.127723442253305,-0.182656864632446,2.45233276575075,0.0675938742152854,-0.460809429953466,-0.460809429953466,-0.41448281911095,-0.460809429953466,-0.199793424124542,-0.460809429953466,-0.326149013026483,-0.335563104986032,-0.43917162051106,-0.460809429953466,-0.460809429953466,-0.339395069004833,-0.460809429953466,-0.418319987627415,-0.460809429953466
S100A1,Oligo_2_3_2,Oligodendrocyte/OPC,,-0.432572129924941,-0.443450147831397,4.4156990403792,4.19173438521506,0.844670076095928,2.46832219423243,-0.459810214694025,1.22056305318326,0.890579721712835,1.43168802328033,-0.24594193228246,0.801239556233756,-0.0400081466653324,-0.20115213792282,0.0433108765674837,0.0237881824071199,-0.295976118923345,-0.350880537646747,-0.33889343399201,-0.301216269706534,-0.404237149554326,-0.459810214694025,-0.402707676293564,-0.366642600990298,-0.349781057994234,-0.361403807105084,-0.459810214694025,-0.395700476661721,-0.433967472955003,-0.421552066747643,-0.378151265730836,-0.43966408522065,-0.443845938777134,-0.429005891935796,-0.309078521957247,-0.405527028804343,-0.338952282148837,-0.395988205540705,-0.374104348707463,-0.283782756972989,-0.335242284451283,-0.345625010672011,-0.246454959365765,-0.440420920776487,-0.300573542867438,-0.309111784901348,-0.289175740895255,-0.441044184044048,-0.459810214694025,-0.429443972615474,-0.406757373661895,-0.249013089118536,-0.177063131830723,-0.38172149620006,-0.280977207248171,-0.275546062889358
